Building DFA for string list in: backdoor-regex/tcp-other-F-1.txt
# strings: 42, # chars: 486
# transitions: 12435, # states: 463, # final states: 42, highest state value: 683
elapsed time: 0.224991
Transition Table: cstate,byte,nstate
0,00,1a0
0,05,1b0
0,1f,1c5
0,2f,1b
0,2e,1
0,30,60
0,41,64
0,43,78
0,47,84
0,49,a7
0,4a,b4
0,4d,d7
0,4e,db
0,50,ed
0,53,105
0,56,12a
0,5d,13c
0,63,14c
0,65,163
0,67,175
0,66,16f
0,6b,17e
0,6c,185
0,6f,18b
0,73,197
0,75,19d
1,00,1a0
1,05,1b0
1,1f,1c5
1,2f,1b
1,2e,1
1,30,60
1,41,64
1,43,78
1,44,2
1,47,84
1,49,a7
1,4a,b4
1,4d,d7
1,4e,db
1,50,ed
1,53,105
1,56,12a
1,5d,13c
1,63,14c
1,65,163
1,67,175
1,66,16f
1,6b,17e
1,6c,185
1,6f,18b
1,73,197
1,75,19d
2,00,1a0
2,05,1b0
2,1f,1c5
2,2f,1b
2,2e,1
2,30,60
2,41,64
2,43,78
2,47,84
2,49,a7
2,4a,b4
2,4d,d7
2,4e,db
2,50,ed
2,53,105
2,56,12a
2,5d,13c
2,61,3
2,63,14c
2,65,163
2,67,175
2,66,16f
2,6b,17e
2,6c,185
2,6f,18b
2,73,197
2,75,19d
3,00,1a0
3,05,1b0
3,1f,1c5
3,2f,1b
3,2e,1
3,30,60
3,41,64
3,43,78
3,47,84
3,49,a7
3,4a,b4
3,4d,d7
3,4e,db
3,50,ed
3,53,105
3,56,12a
3,5d,13c
3,63,14c
3,65,163
3,67,175
3,66,16f
3,6b,17e
3,6c,185
3,6f,18b
3,73,197
3,75,19d
3,74,4
4,00,1a0
4,05,1b0
4,1f,1c5
4,2f,1b
4,2e,1
4,30,60
4,41,64
4,43,78
4,47,84
4,49,a7
4,4a,b4
4,4d,d7
4,4e,db
4,50,ed
4,53,105
4,56,12a
4,5d,13c
4,61,5
4,63,14c
4,65,163
4,67,175
4,66,16f
4,6b,17e
4,6c,185
4,6f,18b
4,73,197
4,75,19d
5,00,1a0
5,03,6
5,05,1b0
5,1f,1c5
5,2f,1b
5,2e,1
5,30,60
5,41,64
5,43,78
5,47,84
5,49,a7
5,4a,b4
5,4d,d7
5,4e,db
5,50,ed
5,53,105
5,56,12a
5,5d,13c
5,63,14c
5,65,163
5,67,175
5,66,16f
5,6b,17e
5,6c,185
5,6f,18b
5,73,197
