Building DFA for string list (max 20 length) in: backdoor-regex/tcp-http-F-0.txt
# strings: 81, # chars: 1117
# transitions: 23205, # states: 949, # final states: 81, highest state value: 1678
elapsed time: 0.447122
Transition Table: cstate,byte,nstate
0,00,34c
0,1f,35c
0,a0,366
0,26,1
0,2f,32
0,2e,29
0,30,26c
0,c2,36a
0,45,270
0,47,281
0,4d,289
0,50,2a0
0,53,2c1
0,57,2e1
0,56,2cf
0,58,2f5
0,5d,30b
0,e7,3ab
0,6d,31b
0,6f,323
0,70,32f
0,73,343
0,75,349
1,00,34c
1,1f,35c
1,a0,366
1,26,1
1,2f,32
1,2e,29
1,30,26c
1,c2,36a
1,45,270
1,47,281
1,4d,289
1,50,2a0
1,53,2c1
1,57,2e1
1,56,2cf
1,58,2f5
1,5d,30b
1,63,2
1,e7,3ab
1,6d,31b
1,6f,323
1,70,32f
1,73,437
1,75,349
2,00,34c
2,1f,35c
2,a0,366
2,26,1
2,2f,32
2,2e,29
2,30,26c
2,c2,36a
2,45,270
2,47,281
2,4d,289
2,50,2a0
2,53,2c1
2,57,2e1
2,56,2cf
2,58,2f5
2,5d,30b
2,e7,3ab
2,6d,487
2,6f,323
2,70,32f
2,73,343
2,75,349
4,00,34c
4,1f,35c
4,a0,366
4,26,1
4,2f,32
4,2e,29
4,30,26c
4,3d,5
4,c2,36a
4,45,270
4,47,281
4,4d,289
4,50,2a0
4,53,2c1
4,57,2e1
4,56,2cf
4,58,2f5
4,5d,30b
4,e7,3ab
4,6d,31b
4,6f,323
4,70,32f
4,73,343
4,75,349
5,00,34c
5,1f,35c
5,a0,366
5,26,1
5,2f,32
5,2e,29
5,30,26c
5,c2,36a
5,45,270
5,47,281
5,4d,289
5,50,2a0
5,53,2c1
5,57,2e1
5,56,2cf
5,58,2f5
5,5d,30b
5,65,6
5,e7,3ab
5,69,14
5,6d,31b
5,6f,323
5,70,32f
5,73,343
5,75,349
6,00,34c
6,1f,35c
6,a0,366
6,26,1
6,2f,32
6,2e,29
6,30,26c
6,c2,36a
6,45,270
6,47,281
6,4d,289
6,50,2a0
6,53,2c1
6,57,2e1
6,56,2cf
6,58,2f5
6,5d,30b
6,64,7
6,e7,3ab
6,6d,31b
6,6f,323
6,70,32f
6,73,343
6,75,349
7,00,34c
7,1f,35c
7,a0,366
7,26,1
7,2f,32
7,2e,29
7,30,26c
7,c2,36a
7,45,270
7,47,281
7,4d,289
7,50,2a0
7,53,2c1
7,57,2e1
7,56,2cf
7,58,2f5
7,5d,30b
7,e7,3ab
7,69,8
7,6d,31b
7,6f,323
7,70,32f
7,73,343
7,75,349
8,00,34c
8,1f,35c
8,a0,366
8,26,1
8,2f,32
8,2e,29
8,30,26c
8,c2,36a
8,45,270
