Building DFA for string list (max 20 length) in: backdoor-regex/tcp-other-F-1.txt
# strings: 42, # chars: 429
# transitions: 10899, # states: 406, # final states: 42, highest state value: 610
elapsed time: 0.134057
Transition Table: cstate,byte,nstate
0,00,168
0,05,178
0,1f,18c
0,2f,15
0,2e,1
0,30,3f
0,41,43
0,43,57
0,47,63
0,49,7e
0,4a,8b
0,4d,9f
0,4e,a3
0,50,b5
0,53,cd
0,56,f2
0,5d,104
0,63,114
0,65,12b
0,67,13d
0,66,137
0,6b,146
0,6c,14d
0,6f,153
0,73,15f
0,75,165
1,00,168
1,05,178
1,1f,18c
1,2f,15
1,2e,1
1,30,3f
1,41,43
1,43,57
1,44,2
1,47,63
1,49,7e
1,4a,8b
1,4d,9f
1,4e,a3
1,50,b5
1,53,cd
1,56,f2
1,5d,104
1,63,114
1,65,12b
1,67,13d
1,66,137
1,6b,146
1,6c,14d
1,6f,153
1,73,15f
1,75,165
2,00,168
2,05,178
2,1f,18c
2,2f,15
2,2e,1
2,30,3f
2,41,43
2,43,57
2,47,63
2,49,7e
2,4a,8b
2,4d,9f
2,4e,a3
2,50,b5
2,53,cd
2,56,f2
2,5d,104
2,61,3
2,63,114
2,65,12b
2,67,13d
2,66,137
2,6b,146
2,6c,14d
2,6f,153
2,73,15f
2,75,165
3,00,168
3,05,178
3,1f,18c
3,2f,15
3,2e,1
3,30,3f
3,41,43
3,43,57
3,47,63
3,49,7e
3,4a,8b
3,4d,9f
3,4e,a3
3,50,b5
3,53,cd
3,56,f2
3,5d,104
3,63,114
3,65,12b
3,67,13d
3,66,137
3,6b,146
3,6c,14d
3,6f,153
3,73,15f
3,75,165
3,74,4
4,00,168
4,05,178
4,1f,18c
4,2f,15
4,2e,1
4,30,3f
4,41,43
4,43,57
4,47,63
4,49,7e
4,4a,8b
4,4d,9f
4,4e,a3
4,50,b5
4,53,cd
4,56,f2
4,5d,104
4,61,5
4,63,114
4,65,12b
4,67,13d
4,66,137
4,6b,146
4,6c,14d
4,6f,153
4,73,15f
4,75,165
5,00,168
5,03,6
5,05,178
5,1f,18c
5,2f,15
5,2e,1
5,30,3f
5,41,43
5,43,57
5,47,63
5,49,7e
5,4a,8b
5,4d,9f
5,4e,a3
5,50,b5
5,53,cd
5,56,f2
5,5d,104
5,63,114
5,65,12b
5,67,13d
5,66,137
5,6b,146
5,6c,14d
5,6f,153
5,73,15f
5,75,165
6,00,1d4
6,05,178
6,1f,18c
6,2f,15
6,2e,1
6,30,3f
6,41,43
6,43,57
6,47,63
6,49,7e
6,4a,8b
6,4d,9f
6,4e,a3
6,50,b5
6,53,cd
6,56,f2
6,5d,104
6,63,114
6,65,12b
6,67,13d
6,66,137
6,6b,146
6,6c,14d
6,6f,153
6,73,15f
6,75,165
a,00,168
a,05,178
a,1f,18c
a,2f,15
a,2e,1
a,30,3f
a,41,43
a,43,57
a,47,63
a,49,7e
a,4a,8b
a,4d,9f
a,4e,a3
a,50,b5
a,53,cd
a,56,f2
a,5d,104
a,63,114
a,65,12b
a,64,b
a,67,13d
a,66,137
a,6b,146
a,6c,14d
a,6f,153
a,73,15f
a,75,165
b,00,168
b,05,178
b,1f,18c
b,2f,15
b,2e,1
b,30,3f
b,41,43
b,43,57
b,47,63
b,49,7e
b,4a,8b
b,4d,9f
b,4e,a3
b,50,b5
b,53,cd
b,56,f2
b,5d,104
b,61,c
b,63,114
b,65,12b
b,67,13d
b,66,137
b,6b,146
b,6c,14d
b,6f,153
b,73,15f
b,75,165
c,00,168
c,05,178
c,1f,18c
c,2f,15
c,2e,1
c,30,3f
c,41,43
c,43,57
c,47,63
c,49,7e
c,4a,8b
c,4d,9f
c,4e,a3
c,50,b5
c,53,cd
c,56,f2
c,5d,104
c,63,114
c,65,12b
c,67,13d
c,66,137
c,6b,146
c,6c,14d
c,6f,153
c,73,15f
c,75,165
c,74,d
d,00,168
d,05,178
d,1f,18c
d,2f,15
d,2e,1
d,30,3f
d,41,43
d,43,57
d,47,63
d,49,7e
d,4a,8b
d,4d,9f
d,4e,a3
d,50,b5
d,53,cd
d,56,f2
d,5d,104
d,61,e
d,63,114
d,65,12b
d,67,13d
d,66,137
d,6b,146
d,6c,14d
d,6f,153
d,73,15f
d,75,165
e,00,168
e,05,1b8
e,1f,18c
